case_id,scenario,objective,route_id,campaign_budget_cad,route_segment,end_of_period_route_status,capacity_required_flag,decision_bucket,incremental_passenger_proxy,incremental_route_health_points,cost_per_incremental_passenger_proxy_cad,marketing_support_priority_score_v0,route_sustainability_score_v0,data_confidence_score,source_recommendation
pilot_health_250k,base,route_health,YKF_YEG,75000,long_haul,active,0,scale_defend,776.3288,3.8490,96.6086,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
pilot_health_250k,base,route_health,YKF_YHZ,75000,medium_haul,active,0,evidence_first,847.7090,4.0283,88.4738,59.4606,67.9848,100.0000,Watchlist; improve evidence first
pilot_health_250k,base,route_health,YLW_YYC,50000,medium_haul,active,0,maintain,1005.3463,3.0420,49.7341,56.8998,81.4194,93.7500,Maintain service; monitor capacity and leakage
pilot_health_250k,base,route_health,YXX_YYC,50000,medium_haul,active,0,test_and_learn,1921.0655,2.8391,26.0272,65.8572,77.5137,93.7500,Run test-and-learn marketing
balanced_health_500k,base,route_health,YKF_YEG,100000,long_haul,active,0,scale_defend,917.4795,4.5489,108.9943,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
balanced_health_500k,base,route_health,YKF_YHZ,75000,medium_haul,active,0,evidence_first,847.7090,4.0283,88.4738,59.4606,67.9848,100.0000,Watchlist; improve evidence first
balanced_health_500k,base,route_health,YLW_YYC,75000,medium_haul,active,0,maintain,1264.7905,3.8271,59.2984,56.8998,81.4194,93.7500,Maintain service; monitor capacity and leakage
balanced_health_500k,base,route_health,YXU_YYC,75000,long_haul,active,0,test_and_learn,1526.9246,3.4975,49.1183,63.3966,80.8266,100.0000,Run test-and-learn marketing
balanced_health_500k,base,route_health,YXX_YYC,75000,medium_haul,active,0,test_and_learn,2416.8243,3.5717,31.0325,65.8572,77.5137,93.7500,Run test-and-learn marketing
balanced_health_500k,base,route_health,YLW_YVR,50000,short_haul,active,0,maintain,9308.7015,2.4047,5.3713,50.5784,86.3659,93.7500,Maintain service; monitor capacity and leakage
balanced_health_500k,base,route_health,YXX_YEG,50000,medium_haul,active,0,maintain,1798.4880,2.5984,27.8011,58.7321,71.5851,93.7500,Maintain service; monitor capacity and leakage
growth_passengers_500k,base,incremental_passengers,YLW_YVR,150000,short_haul,active,0,maintain,13963.0523,3.6070,10.7426,50.5784,86.3659,93.7500,Maintain service; monitor capacity and leakage
growth_passengers_500k,base,incremental_passengers,YKF_YYC,100000,long_haul,active,0,test_and_learn,2645.9702,3.3923,37.7933,68.1332,76.3453,52.0833,Run test-and-learn marketing
growth_passengers_500k,base,incremental_passengers,YXX_YEG,75000,medium_haul,active,0,maintain,2262.6139,3.2690,33.1475,58.7321,71.5851,93.7500,Maintain service; monitor capacity and leakage
growth_passengers_500k,base,incremental_passengers,YXX_YYC,75000,medium_haul,active,0,test_and_learn,2416.8243,3.5717,31.0325,65.8572,77.5137,93.7500,Run test-and-learn marketing
growth_passengers_500k,base,incremental_passengers,YHM_YVR,50000,long_haul,active,0,evidence_first,1205.5463,1.7482,41.4750,44.1572,64.4343,19.4444,Needs schedule data before spend decision
growth_passengers_500k,base,incremental_passengers,YHM_YYC,50000,long_haul,active,0,evidence_first,1240.2146,1.8063,40.3156,46.5879,68.0399,35.0694,Needs schedule data before spend decision
portfolio_value_500k,base,portfolio_value,YKF_YEG,100000,long_haul,active,0,scale_defend,917.4795,4.5489,108.9943,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
portfolio_value_500k,base,portfolio_value,YKF_YYC,100000,long_haul,active,0,test_and_learn,2645.9702,3.3923,37.7933,68.1332,76.3453,52.0833,Run test-and-learn marketing
portfolio_value_500k,base,portfolio_value,YKF_YVR,75000,long_haul,inactive,1,relaunch_feasibility,1424.4630,3.0110,52.6514,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
portfolio_value_500k,base,portfolio_value,YXU_YYC,75000,long_haul,active,0,test_and_learn,1526.9246,3.4975,49.1183,63.3966,80.8266,100.0000,Run test-and-learn marketing
portfolio_value_500k,base,portfolio_value,YXX_YYC,75000,medium_haul,active,0,test_and_learn,2416.8243,3.5717,31.0325,65.8572,77.5137,93.7500,Run test-and-learn marketing
portfolio_value_500k,base,portfolio_value,YXX_YEG,50000,medium_haul,active,0,maintain,1798.4880,2.5984,27.8011,58.7321,71.5851,93.7500,Maintain service; monitor capacity and leakage
portfolio_value_500k,base,portfolio_value,YLW_YVR,25000,short_haul,active,0,maintain,6205.8010,1.6031,4.0285,50.5784,86.3659,93.7500,Maintain service; monitor capacity and leakage
downside_portfolio_500k,conservative,portfolio_value,YKF_YEG,100000,long_haul,active,0,scale_defend,329.0959,2.8908,303.8628,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
downside_portfolio_500k,conservative,portfolio_value,YKF_YYC,75000,long_haul,active,0,test_and_learn,786.0593,1.7768,95.4126,68.1332,76.3453,52.0833,Run test-and-learn marketing
downside_portfolio_500k,conservative,portfolio_value,YLW_YVR,75000,short_haul,active,0,maintain,4654.3508,1.8317,16.1140,50.5784,86.3659,93.7500,Maintain service; monitor capacity and leakage
downside_portfolio_500k,conservative,portfolio_value,YXU_YYC,75000,long_haul,active,0,test_and_learn,544.6652,2.1878,137.6993,63.3966,80.8266,100.0000,Run test-and-learn marketing
downside_portfolio_500k,conservative,portfolio_value,YXX_YYC,75000,medium_haul,active,0,test_and_learn,908.1400,2.2511,82.5864,65.8572,77.5137,93.7500,Run test-and-learn marketing
downside_portfolio_500k,conservative,portfolio_value,YKF_YVR,50000,long_haul,inactive,1,relaunch_feasibility,374.2769,1.4407,133.5909,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
downside_portfolio_500k,conservative,portfolio_value,YLW_YYC,50000,medium_haul,active,0,maintain,373.4143,1.9187,133.8995,56.8998,81.4194,93.7500,Maintain service; monitor capacity and leakage
upside_portfolio_500k,optimistic,portfolio_value,YKF_YYC,100000,long_haul,active,0,test_and_learn,6025.7560,5.4190,16.5954,68.1332,76.3453,52.0833,Run test-and-learn marketing
upside_portfolio_500k,optimistic,portfolio_value,YXU_YYC,100000,long_haul,active,0,test_and_learn,4075.8708,6.5834,24.5346,63.3966,80.8266,100.0000,Run test-and-learn marketing
upside_portfolio_500k,optimistic,portfolio_value,YKF_YEG,75000,long_haul,active,0,scale_defend,1776.2402,6.1477,42.2240,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
upside_portfolio_500k,optimistic,portfolio_value,YKF_YVR,75000,long_haul,inactive,1,relaunch_feasibility,3300.9557,4.7359,22.7207,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
upside_portfolio_500k,optimistic,portfolio_value,YXX_YYC,75000,medium_haul,active,0,test_and_learn,5144.0392,5.4120,14.5800,65.8572,77.5137,93.7500,Run test-and-learn marketing
upside_portfolio_500k,optimistic,portfolio_value,YXX_YEG,50000,medium_haul,active,0,maintain,3879.4052,4.0168,12.8886,58.7321,71.5851,93.7500,Maintain service; monitor capacity and leakage
upside_portfolio_500k,optimistic,portfolio_value,YLW_YVR,25000,short_haul,active,0,maintain,13652.7622,2.4435,1.8311,50.5784,86.3659,93.7500,Maintain service; monitor capacity and leakage
broad_test_875k,base,portfolio_value,YKF_YYC,150000,long_haul,active,0,test_and_learn,3293.9628,4.2230,45.5379,68.1332,76.3453,52.0833,Run test-and-learn marketing
broad_test_875k,base,portfolio_value,YKF_YEG,100000,long_haul,active,0,scale_defend,917.4795,4.5489,108.9943,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
broad_test_875k,base,portfolio_value,YKF_YVR,100000,long_haul,inactive,1,relaunch_feasibility,1718.0547,3.6315,58.2054,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
broad_test_875k,base,portfolio_value,YXU_YYC,100000,long_haul,active,0,test_and_learn,1804.5473,4.1334,55.4156,63.3966,80.8266,100.0000,Run test-and-learn marketing
broad_test_875k,base,portfolio_value,YXX_YYC,100000,medium_haul,active,0,test_and_learn,2774.8723,4.1009,36.0377,65.8572,77.5137,93.7500,Run test-and-learn marketing
broad_test_875k,base,portfolio_value,YKF_YHZ,75000,medium_haul,active,0,evidence_first,847.7090,4.0283,88.4738,59.4606,67.9848,100.0000,Watchlist; improve evidence first
broad_test_875k,base,portfolio_value,YLW_YYC,75000,medium_haul,active,0,maintain,1264.7905,3.8271,59.2984,56.8998,81.4194,93.7500,Maintain service; monitor capacity and leakage
broad_test_875k,base,portfolio_value,YXX_YEG,75000,medium_haul,active,0,maintain,2262.6139,3.2690,33.1475,58.7321,71.5851,93.7500,Maintain service; monitor capacity and leakage
broad_test_875k,base,portfolio_value,YLW_YVR,50000,short_haul,active,0,maintain,9308.7015,2.4047,5.3713,50.5784,86.3659,93.7500,Maintain service; monitor capacity and leakage
broad_test_875k,base,portfolio_value,YXU_YVR,50000,long_haul,inactive,1,relaunch_feasibility,346.0596,2.0440,144.4838,67.3961,68.8231,81.4236,Relaunch feasibility test; verify airline capacity first
