route_id,scenario,campaign_budget_cad,route_segment,end_of_period_route_status,capacity_required_flag,baseline_annual_passenger_proxy,max_lift_pct_adjusted,half_saturation_spend_cad_adjusted,response_share,incremental_passenger_proxy,incremental_pct_of_baseline_proxy,cost_per_incremental_passenger_proxy_cad,incremental_route_health_points,marketing_support_priority_score_v0,route_sustainability_score_v0,data_confidence_score,source_recommendation,selected_test_budget_cad,scenario_note
YKF_YVR,conservative,75000,long_haul,inactive,1,92558.1204,0.0203,175500.0000,0.2994,505.3858,0.0055,148.4015,1.9454,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first,75000,Lower-bound response for long-haul regional access where awareness may matter but capacity risk remains.
YKF_YVR,base,75000,long_haul,inactive,1,92558.1204,0.0486,162000.0000,0.3165,1424.4630,0.0154,52.6514,3.0110,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first,75000,Central scenario for long-haul regional access campaigns.
YKF_YVR,optimistic,75000,long_haul,inactive,1,92558.1204,0.0892,135000.0000,0.3571,3300.9557,0.0357,22.7207,4.7359,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first,75000,Upper scenario for long-haul routes with pent-up demand or strong anchor-market demand.
YKF_YEG,conservative,150000,long_haul,active,0,30922.6955,0.0272,130000.0000,0.5357,405.4932,0.0131,369.9199,3.5619,71.6207,73.3315,93.9236,Scale or defend with controlled campaign,150000,Lower-bound response for long-haul regional access where awareness may matter but capacity risk remains.
YKF_YEG,base,150000,long_haul,active,0,30922.6955,0.0653,120000.0000,0.5556,1121.3638,0.0363,133.7657,5.5597,71.6207,73.3315,93.9236,Scale or defend with controlled campaign,150000,Central scenario for long-haul regional access campaigns.
YKF_YEG,optimistic,150000,long_haul,active,0,30922.6955,0.1197,100000.0000,0.6000,2486.7363,0.0804,60.3200,8.6068,71.6207,73.3315,93.9236,Scale or defend with controlled campaign,150000,Upper scenario for long-haul routes with pent-up demand or strong anchor-market demand.
YKF_YYC,conservative,100000,long_haul,active,0,115220.8854,0.0233,156000.0000,0.3906,945.7276,0.0082,105.7387,2.1377,68.1332,76.3453,52.0833,Run test-and-learn marketing,100000,Lower-bound response for long-haul regional access where awareness may matter but capacity risk remains.
YKF_YYC,base,100000,long_haul,active,0,115220.8854,0.0560,144000.0000,0.4098,2645.9702,0.0230,37.7933,3.3923,68.1332,76.3453,52.0833,Run test-and-learn marketing,100000,Central scenario for long-haul regional access campaigns.
YKF_YYC,optimistic,100000,long_haul,active,0,115220.8854,0.1027,120000.0000,0.4545,6025.7560,0.0523,16.5954,5.4190,68.1332,76.3453,52.0833,Run test-and-learn marketing,100000,Upper scenario for long-haul routes with pent-up demand or strong anchor-market demand.
YXU_YVR,conservative,75000,long_haul,inactive,1,34036.8387,0.0180,175500.0000,0.2994,164.7410,0.0048,455.2602,1.7767,67.3961,68.8231,81.4236,Relaunch feasibility test; verify airline capacity first,75000,Lower-bound response for long-haul regional access where awareness may matter but capacity risk remains.
